Maze,Fish_ID,Trial_ID,Trajectory,D_Point,Total_time
GRAVEL,4,3,22.30571273,D2,900
GRAVEL,4,4,28.48015139,D4,900
GRAVEL,4,5,34.17312442,D3,900
GRAVEL,4,6,39.72754747,D3,900
GRAVEL,4,7,48.84383637,D2,900
GRAVEL,4,8,43.51270502,D1,900
GRAVEL,4,9,35.74425586,D2,900
GRAVEL,4,10,41.86170726,D2,900
GRAVEL,4,11,32.53453875,D2,900
GRAVEL,4,12,36.27258918,D3,900
GRAVEL,4,13,38.90495749,D2,900
GRAVEL,4,14,29.30137133,D2,900
GRAVEL,4,15,33.14011025,D1,900
GRAVEL,4,16,34.26953098,D1,900
GRAVEL,4,17,NA,NA,900
GRAVEL,4,18,38.19555828,D2,900
GRAVEL,4,19,39.82457075,D2,900
GRAVEL,4,20,48.7022011,D1,900
GRAVEL,5,1,23.91755716,D2,900
GRAVEL,5,2,21.46877829,D3,900
GRAVEL,5,3,3.127751123,D2,900
GRAVEL,5,4,19.30053643,D2,900
GRAVEL,5,5,8.279241953,D1,900
GRAVEL,5,6,30.75682049,D2,900
GRAVEL,5,7,10.29477357,D1,900
GRAVEL,5,8,26.35829691,D2,900
GRAVEL,5,9,32.22829915,D2,900
GRAVEL,5,10,30.71442786,D2,900
GRAVEL,5,11,31.73858111,D3,900
GRAVEL,5,12,17.1525814,D1,900
GRAVEL,5,13,18.78742795,D2,900
GRAVEL,5,14,34.30271955,D2,900
GRAVEL,5,15,29.7585047,D2,900
GRAVEL,5,16,35.01203507,D2,900
GRAVEL,5,17,NA,NA,900
GRAVEL,5,18,22.77955203,D2,900
GRAVEL,5,19,25.81235055,D2,900
GRAVEL,5,20,34.14610269,D3,900
GRAVEL,6,1,10.95047149,D1,900
GRAVEL,6,2,6.546818887,D2,900
GRAVEL,6,3,3.95192648,D1,900
GRAVEL,6,4,13.51983323,D1,900
GRAVEL,6,5,14.94036775,D2,900
GRAVEL,6,6,11.49918883,D2,900
GRAVEL,6,7,0.123525501,D0,900
GRAVEL,6,8,0.298899055,D0,900
GRAVEL,6,9,17.10440397,D2,900
GRAVEL,6,10,4.814818355,D1,900
GRAVEL,6,11,0.087845056,D0,900
GRAVEL,6,12,0.012790504,D0,900
GRAVEL,6,13,12.42388338,D2,900
GRAVEL,6,14,0.090139656,D0,900
GRAVEL,6,15,8.027847253,D1,900
GRAVEL,6,16,6.478224831,D1,900
GRAVEL,6,17,6.992441645,D0,900
GRAVEL,6,18,0.867757781,D0,900
GRAVEL,6,19,0.128252647,D0,900
GRAVEL,6,20,0.405433612,D0,900
GRAVEL,7,1,17.41540159,D2,540
GRAVEL,7,2,14.76823387,D1,900
GRAVEL,7,3,18.40658013,D3,900
GRAVEL,7,4,13.31640986,D1,900
GRAVEL,7,5,3.205036632,D1,139
GRAVEL,7,6,31.46353824,D3,900
GRAVEL,7,7,9.262037222,D1,425
GRAVEL,7,8,8.886570188,D2,247
GRAVEL,7,9,2.459654952,D1,111
GRAVEL,7,10,4.075830429,D1,236
GRAVEL,7,11,5.250997699,D2,249
GRAVEL,7,12,4.480784267,D1,639
GRAVEL,7,13,2.736309192,D1,900
GRAVEL,7,14,5.48025793,D2,302
GRAVEL,7,15,14.31183212,D1,827.00
GRAVEL,7,16,0.676524845,D1,80
GRAVEL,7,17,1.582359161,D1,123.00
GRAVEL,7,18,0.664631582,D1,161
GRAVEL,7,19,0.731665226,D1,69.00
GRAVEL,7,20,0.894520916,D1,84
GRAVEL,8,1,8.470383862,D1,900
GRAVEL,8,2,15.80421659,D3,900
GRAVEL,8,3,5.577300884,D1,900
GRAVEL,8,4,NA,D0,900
GRAVEL,8,5,7.502485085,D1,900
GRAVEL,8,6,0.455883458,D1,900
GRAVEL,8,7,12.16782214,D1,900
GRAVEL,8,8,32.90337372,D3,900
GRAVEL,8,9,26.05730939,D3,900
GRAVEL,8,10,19.50614036,D2,900
GRAVEL,8,11,16.91488891,D2,900
GRAVEL,8,12,19.44345077,D2,900
GRAVEL,8,13,14.63729003,D2,900
GRAVEL,8,14,17.42993807,D2,900
GRAVEL,8,15,19.77172219,D2,900
GRAVEL,8,16,17.30420815,D4,900
GRAVEL,8,17,13.43769962,D3,900
GRAVEL,8,18,7.193612844,D5,876
GRAVEL,8,19,15.88859924,D2,900
GRAVEL,8,20,8.991604552,D2,900
GRAVEL,9,1,24.19648047,D2,831
GRAVEL,9,2,5.272916241,D1,295.00
GRAVEL,9,3,16.30108215,D1,900
GRAVEL,9,4,8.742582766,D2,464
GRAVEL,9,5,7.492587108,D2,250
GRAVEL,9,6,22.54933171,D1,823
GRAVEL,9,7,14.07199371,D4,662
GRAVEL,9,8,18.12761962,D1,900
GRAVEL,9,9,22.65692498,D2,900
GRAVEL,9,10,20.41786088,D2,900
GRAVEL,9,11,12.20671313,D1,446
GRAVEL,9,12,0.227600802,D1,900
GRAVEL,9,13,13.40813501,D2,900
GRAVEL,9,14,13.80818486,D1,900
GRAVEL,9,15,12.54905074,D2,587
GRAVEL,9,16,2.426936637,D2,900
GRAVEL,9,17,8.499825267,D1,900
